Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
907,T.J. Tynan\tynant.01,29,LAK,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,22,10:51,2,1,6,7,46.2
908,Urho Vaakanainen\vaakaur01,23,BOS,D,15,0,4,4,0,4,0.7,0,0,0,0,4,0,0,15,0.0,289,19:17,12,10,0,0,
909,Juuso Valimaki\valimju01,23,CGY,D,8,0,2,2,1,10,0.4,0,0,0,0,2,0,0,11,0.0,127,15:51,9,7,0,0,
910,James van Riemsdyk\vanrija01,32,PHI,LW,57,13,9,22,-28,21,1.0,6,7,0,4,9,0,0,124,10.5,929,16:18,17,22,5,5,50.0
911,Trevor van Riemsdyk\vanritr01,30,WSH,D,55,1,12,13,-1,33,2.0,1,0,0,0,11,0,1,56,1.8,973,17:42,98,22,0,0,
912,Frank Vatrano\vatrafr01,27,FLA,LW,47,8,9,17,-5,16,1.0,7,1,0,1,8,1,0,99,8.1,577,12:17,16,48,9,13,40.9
913,Lukas Vejdemo\vejdelu01,26,MTL,C,6,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,10,10.0,64,10:38,4,7,13,18,41.9
914,Joe Veleno\velenjo01,22,DET,C,42,5,7,12,-2,18,0.7,5,0,0,0,7,0,0,43,11.6,523,12:27,16,62,120,116,50.8
915,Carter Verhaeghe\verhaca01,26,FLA,C,57,20,26,46,21,40,5.1,20,0,0,4,23,3,0,120,16.7,929,16:18,12,33,13,5,72.2
916,Kristian Vesalainen\vesalkr01,22,WPG,W,50,2,1,3,-5,6,-0.4,2,0,0,0,1,0,0,42,4.8,441,8:49,13,70,0,1,0.0
917,Jimmy Vesey\veseyji02,28,NJD,LW,54,7,7,14,-18,8,0.1,5,0,2,2,7,0,0,90,7.8,790,14:37,25,75,14,29,32.6
918,Jeffrey Viel\vielje01,25,SJS,F,21,2,2,4,0,78,0.4,2,0,0,0,2,0,0,17,11.8,185,8:49,10,57,2,7,22.2
919,Gabriel Vilardi\vilarga01,22,LAK,C,7,1,0,1,-5,2,-0.1,0,1,0,0,0,0,0,7,14.3,91,12:58,5,0,19,32,37.3
920,Marc-Edouard Vlasic\vlasima01,34,SJS,D,50,1,9,10,-16,12,1.2,1,0,0,0,9,0,0,39,2.6,766,15:19,56,29,0,0,
921,Jakub Voracek\voracja01,32,CBJ,RW,57,3,40,43,-4,30,2.6,1,2,0,1,24,16,0,104,2.9,971,17:02,20,20,4,24,14.3
922,Jakub Vrana\vranaja01,25,DET,LW,2,3,0,3,0,0,0.5,1,2,0,0,0,0,0,7,42.9,34,16:52,0,6,0,1,0.0
923,Oliver Wahlstrom\wahlsol01,21,NYI,RW,49,11,10,21,-1,41,2.2,6,5,0,2,7,3,0,116,9.5,628,12:49,13,70,4,6,40.0
924,Nathan Walker\walkena01,27,STL,C,9,4,1,5,4,0,0.8,4,0,0,0,1,0,0,16,25.0,117,13:03,5,22,0,3,0.0
925,Sean Walker\walkese01,27,LAK,D,6,0,2,2,-1,4,0.2,0,0,0,0,1,1,0,18,0.0,110,18:22,9,9,0,0,
926,Jake Walman\walmaja01,25,STL,D,31,3,3,6,3,6,1.3,3,0,0,0,3,0,0,46,6.5,373,12:03,26,20,0,0,
927,Austin Watson\watsoau01,30,OTT,LW,42,3,2,5,-6,79,-0.2,3,0,0,1,2,0,0,52,5.8,509,12:07,50,129,2,7,22.2
928,Jasper Weatherby\weathja01,24,SJS,C,45,4,6,10,-14,16,0.2,3,1,0,0,5,1,0,42,9.5,518,11:30,23,46,161,157,50.6
929,MacKenzie Weegar\weegama01,28,FLA,D,58,6,29,35,32,55,6.0,5,0,1,2,27,1,1,142,4.2,1359,23:26,112,137,0,0,
930,Alexander Wennberg\wennbal01,27,SEA,C,60,7,19,26,-20,22,0.9,6,1,0,1,15,4,0,74,9.5,1093,18:13,31,36,439,478,47.9
931,Zach Werenski\werenza01,24,CBJ,D,53,10,26,36,-11,20,4.4,6,4,0,2,18,7,1,173,5.8,1396,26:20,73,25,0,0,
932,Blake Wheeler\wheelbl01,35,WPG,RW,45,8,34,42,-10,24,3.1,6,2,0,1,22,12,0,106,7.5,886,19:41,25,47,3,12,20.0
933,Colin White\whiteco02,25,OTT,C,7,1,4,5,0,2,0.4,0,1,0,0,1,3,0,13,7.7,105,14:58,2,7,22,28,44.0
934,Colton White\whiteco03,24,NJD,D,23,0,4,4,0,6,0.7,0,0,0,0,4,0,0,17,0.0,296,12:53,12,17,0,0,
935,Zach Whitecloud\whiteza01,25,VEG,D,40,6,8,14,11,14,3.4,5,0,1,1,8,0,0,70,8.6,772,19:18,93,61,0,0,
936,Chris Wideman\widemch01,32,MTL,D,44,2,11,13,-17,45,0.8,2,0,0,0,5,6,0,53,3.8,653,14:50,28,32,0,0,
937,Maxwell Willman\willmma01,26,PHI,C,34,2,2,4,-11,16,-0.4,2,0,0,0,2,0,0,50,4.0,401,11:47,8,42,2,3,40.0
938,Tom Wilson\wilsoto01,27,WSH,RW,56,18,22,40,9,70,4.3,12,4,2,4,17,4,1,110,16.4,1070,19:07,36,170,17,19,47.2
939,Christian Wolanin\wolanch01,26,TOT,D,8,1,1,2,0,2,0.4,1,0,0,0,1,0,0,5,20.0,116,14:30,11,4,0,0,
939,Christian Wolanin\wolanch01,26,LAK,D,7,1,1,2,2,2,0.5,1,0,0,0,1,0,0,5,20.0,108,15:23,9,4,0,0,
939,Christian Wolanin\wolanch01,26,BUF,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,8,8:18,2,0,0,0,
940,Kailer Yamamoto\yamamka01,23,EDM,RW,57,12,9,21,-9,30,1.2,10,1,1,4,8,1,0,78,15.4,955,16:45,23,69,2,4,33.3
941,Keith Yandle\yandlke01,35,PHI,D,57,1,14,15,-33,10,0.0,0,1,0,0,5,9,0,85,1.2,839,14:43,31,21,0,0,
942,Jesse Ylönen\yloneje01,22,MTL,RW,7,1,1,2,2,2,0.2,1,0,0,0,1,0,0,8,12.5,90,12:54,2,5,0,0,
943,Cameron York\yorkca01,21,PHI,D,14,1,3,4,-6,2,0.3,1,0,0,0,0,3,0,15,6.7,256,18:19,16,11,0,0,
944,Pavel Zacha\zachapa01,24,NJD,C,54,13,15,28,-17,14,1.9,9,4,0,1,11,4,0,116,11.2,915,16:56,14,64,122,118,50.8
945,Filip Zadina\zadinfi01,22,DET,RW,56,7,12,19,-23,6,0.4,4,3,0,1,8,4,0,118,5.9,798,14:15,26,39,1,0,100.0
946,Nikita Zadorov\zadorni01,26,CGY,D,50,3,12,15,10,55,3.1,3,0,0,0,12,0,0,71,4.2,846,16:55,38,124,0,0,
947,Nikita Zaitsev\zaitsni01,30,OTT,D,38,1,4,5,-1,22,1.4,1,0,0,0,3,0,1,43,2.3,727,19:08,67,81,0,0,
948,Yegor Zamula\zamulye01,21,PHI,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,20,19:46,3,0,0,0,
949,Jakub Zboril\zborija01,24,BOS,D,10,0,3,3,1,4,0.6,0,0,0,0,3,0,0,13,0.0,157,15:44,10,24,0,0,
950,Trevor Zegras\zegratr01,20,ANA,C,53,16,27,43,-18,42,3.8,10,6,0,4,19,8,0,124,12.9,923,17:25,17,34,168,249,40.3
951,Fabian Zetterlund\zettefa01,22,NJD,W,3,0,0,0,1,0,0.0,0,0,0,0,0,0,0,3,0.0,20,6:35,1,5,2,0,100.0
952,Mika Zibanejad\zibanmi01,28,NYR,C,58,22,36,58,16,10,6.8,10,11,1,1,22,11,3,168,13.1,1147,19:47,38,43,489,456,51.7
953,Radim Zohorna\zohorra01,25,PIT,F,8,1,1,2,5,2,0.3,1,0,0,0,1,0,0,5,20.0,96,11:57,2,13,4,8,33.3
954,Artem Zub\zubar01,26,OTT,D,57,4,12,16,3,42,3.8,4,0,0,0,12,0,0,60,6.7,1227,21:31,104,106,0,0,
955,Mats Zuccarello\zuccama01,34,MIN,LW,49,19,41,60,21,12,6.5,14,5,0,1,25,16,0,107,17.8,929,18:58,27,25,17,24,41.5
956,Jason Zucker\zuckeja01,30,PIT,LW,31,6,7,13,1,10,1.1,4,2,0,0,7,0,0,88,6.8,483,15:34,15,51,4,10,28.6
