Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
808,Jakob Silfverberg\silfvja01,31,ANA,LW,53,5,16,21,-3,30,1.2,4,1,0,0,12,4,0,120,4.2,903,17:02,40,16,8,16,33.3
809,Cole Sillinger\sillico01,18,CBJ,C,56,8,10,18,-18,23,0.5,8,0,0,2,9,1,0,98,8.2,744,13:17,32,55,240,258,48.2
810,Radim Simek\simekra01,29,SJS,D,34,1,1,2,-12,8,0.2,1,0,0,0,1,0,0,24,4.2,467,13:45,38,90,0,0,
811,Wayne Simmonds\simmowa01,33,TOR,RW,56,4,10,14,-5,51,0.6,4,0,0,2,9,1,0,67,6.0,537,9:35,7,98,3,3,50.0
812,Dominik Simon\simondo01,27,PIT,C,52,3,6,9,2,26,0.4,3,0,0,1,5,1,0,64,4.7,502,9:40,25,53,5,10,33.3
813,Colton Sissons\sissoco01,28,NSH,C,54,6,16,22,5,12,1.5,5,1,0,0,13,3,0,54,11.1,868,16:05,30,130,471,384,55.1
814,Jeff Skinner\skinnje01,29,BUF,LW,57,23,18,41,-8,18,4.6,20,3,0,3,14,4,0,182,12.6,983,17:14,13,15,65,88,42.5
815,Brady Skjei\skjeibr01,27,CAR,D,57,7,17,24,14,38,5.4,7,0,0,0,17,0,0,123,5.7,1196,20:59,54,65,0,0,
816,Jaccob Slavin\slavija01,27,CAR,D,55,3,26,29,16,10,5.8,2,1,0,0,19,6,1,112,2.7,1315,23:55,97,39,0,0,
817,Josiah Slavin\slavijo01,23,CHI,LW,15,0,1,1,0,4,-0.2,0,0,0,0,1,0,0,13,0.0,180,12:02,4,12,29,38,43.3
818,Brendan Smith\smithbr05,32,CAR,D,28,3,2,5,4,19,1.5,3,0,0,1,2,0,0,36,8.3,397,14:11,26,45,0,0,
819,C.J. Smith\smithcj01,27,CAR,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:22,0,1,0,0,
820,Cole Smith\smithco02,26,NSH,F,8,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,71,8:50,1,21,0,1,0.0
821,Craig Smith\smithcr01,32,BOS,C,51,11,14,25,1,20,2.4,11,0,0,1,11,3,0,138,8.0,741,14:32,17,73,2,8,20.0
822,Gemel Smith\smithge02,27,DET,C,3,0,1,1,-2,5,0.0,0,0,0,0,1,0,0,1,0.0,20,6:46,1,0,6,4,60.0
823,Givani Smith\smithgi01,23,DET,RW,42,4,2,6,-6,91,0.2,4,0,0,0,2,0,0,40,10.0,339,8:04,19,71,0,0,
824,Reilly Smith\smithre01,30,VEG,RW,56,16,22,38,4,8,3.8,11,3,2,3,16,4,2,150,10.7,996,17:47,23,55,4,4,50.0
825,Ty Smith\smithty01,21,NJD,D,47,3,12,15,-16,8,1.4,3,0,0,0,8,4,0,52,5.8,816,17:22,47,24,0,0,
826,Joe Snively\snivejo01,26,WSH,F,12,4,3,7,3,2,1.0,3,1,0,0,3,0,0,21,19.0,139,11:33,3,2,0,1,0.0
827,Victor Soderstrom\sodervi01,20,ARI,D,13,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,10,0.0,212,16:18,17,9,0,0,
828,Egor Sokolov\sokoleg01,21,OTT,F,8,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,8,0.0,83,10:22,4,13,0,0,
829,Carson Soucy\soucyca01,27,SEA,D,42,7,7,14,10,27,3.6,6,0,1,0,5,2,0,56,12.5,718,17:06,47,79,0,0,
830,Blake Speers\speerbl01,25,ARI,C,2,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:10,2,3,6,5,54.5
831,Jordan Spence\spencjo01,20,LAK,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,14,14:23,1,2,0,0,
832,Jason Spezza\spezzja01,38,TOR,C,52,10,10,20,-2,20,1.8,7,3,0,0,4,6,0,69,14.5,574,11:02,18,17,249,209,54.4
833,Daniel Sprong\spronda01,24,WSH,RW,43,8,5,13,4,8,1.3,8,0,0,0,5,0,0,92,8.7,549,12:46,11,32,0,2,0.0
834,Jared Spurgeon\spurgja01,32,MIN,D,42,5,20,25,18,8,4.1,5,0,0,0,10,10,0,71,7.0,900,21:26,56,29,0,0,
835,Jordan Staal\staaljo01,33,CAR,C,55,8,13,21,10,10,1.7,7,1,0,1,12,1,0,99,8.1,924,16:48,25,168,514,397,56.4
836,Marc Staal\staalma01,35,DET,D,51,1,9,10,9,18,2.5,1,0,0,1,9,0,0,56,1.8,857,16:48,54,57,0,0,
837,Steven Stamkos\stamkst01,31,TBL,C,56,27,36,63,11,22,7.3,17,10,0,7,26,10,0,156,17.3,1046,18:41,21,69,388,376,50.8
838,Logan Stanley\stanllo01,23,WPG,D,44,0,10,10,3,35,1.8,0,0,0,0,9,0,1,64,0.0,681,15:29,68,99,0,0,
839,Paul Stastny\stastpa01,36,WPG,C,48,17,13,30,4,10,3.4,13,4,0,2,10,3,0,84,20.2,832,17:20,17,20,111,88,55.8
840,Troy Stecher\stechtr01,27,DET,D,12,1,1,2,-2,9,0.3,1,0,0,0,1,0,0,15,6.7,177,14:45,12,16,0,0,
841,Sam Steel\steelsa01,23,ANA,C,51,6,11,17,-6,12,1.1,6,0,0,1,8,3,0,56,10.7,634,12:26,25,31,170,154,52.5
842,Oskar Steen\steenos01,23,BOS,C,19,2,4,6,-1,6,0.4,2,0,0,0,4,0,0,22,9.1,207,10:55,6,29,1,5,16.7
843,Alex Steeves\steeval02,22,TOR,F,3,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,2,0.0,24,7:58,1,1,0,0,
844,Kevin Stenlund\stenlke01,25,CBJ,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,23,7:32,2,2,1,0,100.0
845,Derek Stepan\stepade01,31,CAR,C,40,7,7,14,-1,10,1.3,7,0,0,0,7,0,0,68,10.3,444,11:06,19,19,175,145,54.7
846,Mitchell Stephens\stephmi01,24,DET,C,16,0,4,4,-5,4,-0.1,0,0,0,0,4,0,0,13,0.0,192,12:00,8,9,83,89,48.3
847,Chandler Stephenson\stephch02,27,VEG,C,57,14,29,43,3,26,3.9,12,1,1,2,22,6,1,86,16.3,1099,19:17,36,52,441,440,50.1
